Time,FIC100.PV,FIC100.SP,FIC100.OP
2024-10-11 15:28:50.656000,665.1948918849896,845.0,61.22346052477083
2024-10-11 15:28:51.988000,665.8127357194942,845.0,66.17212420999357
2024-10-11 15:28:53.320000,706.0679678169002,845.0,64.07442319734305
2024-10-11 15:28:54.652000,722.2679267180231,845.0,65.30192258518755
2024-10-11 15:28:55.984000,724.1735098981626,845.0,67.96437880089431
2024-10-11 15:28:57.316000,763.8081681153125,845.0,64.40611216355627
2024-10-11 15:28:58.648000,786.7344808619591,845.0,62.48486295285736
2024-10-11 15:28:59.980000,783.0501371127012,845.0,64.4997065182616
2024-10-11 15:29:01.312000,817.2584441145069,845.0,59.76647593378218
2024-10-11 15:29:02.644000,846.7854499915549,845.0,55.51881693906646
2024-10-11 15:29:03.976000,831.8241602825251,845.0,58.061116708232646
2024-10-11 15:29:05.308000,880.3781526550873,845.0,50.074860895193744
2024-10-11 15:29:06.640000,876.9870299920238,845.0,49.8165763197377
2024-10-11 15:29:07.972000,879.400580218191,845.0,49.12823617360484
2024-10-11 15:29:09.304000,892.9085975659814,845.0,46.17587213107873
2024-10-11 15:29:10.636000,870.8607652810871,845.0,49.10156468290845
2024-10-11 15:29:11.968000,886.9971083730579,845.0,45.630701774493296
2024-10-11 15:29:13.300000,889.3153299270188,845.0,44.39034439465457
2024-10-11 15:29:14.632000,878.092025367898,845.0,45.45038472598415
2024-10-11 15:29:15.964000,868.1597811174167,845.0,46.10149197118245
2024-10-11 15:29:17.296000,863.8973401489574,845.0,46.32172394739985
2024-10-11 15:29:18.628000,857.0122914159699,845.0,46.76212503612678
2024-10-11 15:29:19.960000,847.2445903122475,845.0,48.26666516026743
2024-10-11 15:29:21.292000,857.3894715802151,845.0,46.530000924474066
2024-10-11 15:29:22.624000,845.985903114222,845.0,48.17079849674577
2024-10-11 15:29:23.956000,852.6688297531612,845.0,47.23118100282153
2024-10-11 15:29:25.288000,860.4839619167177,845.0,46.25885934121656
2024-10-11 15:29:26.620000,812.1497179320696,845.0,54.324370782487016
2024-10-11 15:29:27.952000,823.4533789981847,845.0,53.04584247387854
2024-10-11 15:29:29.284000,854.7312368369763,845.0,47.994372182919946
2024-10-11 15:29:30.616000,825.6807238065363,845.0,52.902197132313326
2024-10-11 15:29:31.948000,835.3604954376204,845.0,51.729817437844595
2024-10-11 15:29:33.280000,820.1625896358906,845.0,54.412034946841864
2024-10-11 15:29:34.612000,851.1308662463629,845.0,49.272885035928226
2024-10-11 15:29:35.944000,851.3117070677222,845.0,49.36213314574861
2024-10-11 15:29:37.276000,850.7115234343482,845.0,49.5992783418882
2024-10-11 15:29:38.608000,864.9339842104132,845.0,46.84634622677743
2024-10-11 15:29:39.940000,850.5583537964042,845.0,48.98741840326297
2024-10-11 15:29:41.272000,841.0443756416939,845.0,50.63135374773912
2024-10-11 15:29:42.604000,840.9799811530942,845.0,50.99023280023301
2024-10-11 15:29:43.936000,854.2799308490722,845.0,48.93926983624061
2024-10-11 15:29:45.268000,856.7042564601514,845.0,48.36647442463989
2024-10-11 15:29:46.600000,862.6529945391424,845.0,47.12964701817046
2024-10-11 15:29:47.932000,825.4094722057033,845.0,53.49786165577846
2024-10-11 15:29:49.264000,833.6369570409931,845.0,52.29341308261287
2024-10-11 15:29:50.596000,834.1952272530372,845.0,51.93529438105324
2024-10-11 15:29:51.928000,856.7286955548461,845.0,48.60116143110849
2024-10-11 15:29:53.260000,825.622230601667,845.0,53.67903142731078
2024-10-11 15:29:54.592000,863.6550212607601,845.0,47.44620023868325
2024-10-11 15:29:55.924000,833.151799994054,845.0,52.33726648731859
2024-10-11 15:29:57.256000,859.3200269744702,845.0,48.05341499711434
2024-10-11 15:29:58.588000,827.418575383409,845.0,53.255780552674594
2024-10-11 15:29:59.920000,867.751005151403,845.0,46.422861432191716
2024-10-11 15:30:01.252000,828.0497794677111,845.0,52.78961285453666
2024-10-11 15:30:02.584000,843.1262279368138,845.0,50.334830260738755
2024-10-11 15:30:03.916000,843.988306650315,845.0,50.119255395483066
2024-10-11 15:30:05.248000,859.2035467462583,845.0,47.5771868543701
2024-10-11 15:30:06.580000,858.881557192332,845.0,47.48880859872631
2024-10-11 15:30:07.912000,830.8377759879002,845.0,52.18572299696051
2024-10-11 15:30:09.244000,832.5753152049126,845.0,51.82937009846711
2024-10-11 15:30:10.576000,842.9750911423841,845.0,50.32274851308592
2024-10-11 15:30:11.908000,839.4880438449724,845.0,51.04150640588086
2024-10-11 15:30:13.240000,842.8990298863866,845.0,50.50228762754076
2024-10-11 15:30:14.572000,850.9412924668494,845.0,49.430140476269244
2024-10-11 15:30:15.904000,839.1134132006307,845.0,51.41737434811454
2024-10-11 15:30:17.236000,862.4603447020245,845.0,47.52872253958321
2024-10-11 15:30:18.568000,837.5396755186891,845.0,51.35521728918409
2024-10-11 15:30:19.900000,836.4533635536002,845.0,51.28865358942109
2024-10-11 15:30:21.232000,824.6928804828825,845.0,53.38077720962279
2024-10-11 15:30:22.564000,834.016051402552,845.0,52.08403180935831
2024-10-11 15:30:23.896000,832.0174406825095,845.0,52.3790189954779
2024-10-11 15:30:25.228000,840.0170131568751,845.0,50.89840162011916
2024-10-11 15:30:26.560000,862.1978131070043,845.0,47.022133636633335
2024-10-11 15:30:27.892000,842.6019177183498,845.0,49.90370636194819
2024-10-11 15:30:29.224000,860.0009614215486,845.0,47.09625666026727
2024-10-11 15:30:30.556000,867.0565864502147,845.0,45.96211754838148
2024-10-11 15:30:31.888000,825.5637085265222,845.0,52.98312644937931
2024-10-11 15:30:33.220000,834.438027032845,845.0,51.507955615806665
2024-10-11 15:30:34.552000,842.1225771816731,845.0,49.942014585151284
2024-10-11 15:30:35.884000,831.5997212090209,845.0,51.76524636444576
2024-10-11 15:30:37.216000,844.4451719877532,845.0,50.01159036402621
2024-10-11 15:30:38.548000,848.8677670785028,845.0,49.049294563987274
2024-10-11 15:30:39.880000,837.2189348494983,845.0,51.19416146153495
2024-10-11 15:30:41.212000,863.5387200520108,845.0,47.05901599345799
2024-10-11 15:30:42.544000,858.929572989872,845.0,47.61207491149423
2024-10-11 15:30:43.876000,838.1016117563241,845.0,51.10397836721651
2024-10-11 15:30:45.208000,845.7576218303683,845.0,49.68139678666789
2024-10-11 15:30:46.540000,855.4523649203528,845.0,47.943561985543134
2024-10-11 15:30:47.872000,831.7417486222446,845.0,51.96199472408272
2024-10-11 15:30:49.204000,842.5094668869273,845.0,50.07978750953347
2024-10-11 15:30:50.536000,851.8253908330348,845.0,48.60626614816219
2024-10-11 15:30:51.868000,840.2236801742514,845.0,50.362110106516276
2024-10-11 15:30:53.200000,841.961543334067,845.0,50.38024091399547
2024-10-11 15:30:54.532000,825.4889171992917,845.0,53.03000752092444
2024-10-11 15:30:55.864000,865.4590972262165,845.0,46.492235543515136
2024-10-11 15:30:57.196000,839.7209515067136,845.0,50.6455647669935
2024-10-11 15:30:58.528000,857.6214659681871,845.0,47.878287863604605
2024-10-11 15:30:59.860000,821.8630593981657,845.0,53.7125145217244
2024-10-11 15:31:01.192000,848.4370340778049,845.0,49.53690599644704
2024-10-11 15:31:02.524000,866.311435613852,845.0,46.5394162521423
2024-10-11 15:31:03.856000,867.7096950185701,845.0,46.35438925303194
2024-10-11 15:31:05.188000,849.7411111495016,845.0,49.34804756861329
2024-10-11 15:31:06.520000,861.8939336561339,845.0,47.14567079940962
2024-10-11 15:31:07.852000,845.1618953268088,845.0,49.90226087880126
2024-10-11 15:31:09.184000,680.8589255681986,845.0,80.8439901399555
2024-10-11 15:31:10.516000,690.2391378946792,845.0,83.64412876780835
2024-10-11 15:31:11.848000,668.7321753931307,845.0,91.50215955898318
2024-10-11 15:31:13.180000,733.2175164791298,845.0,84.69766779055836
2024-10-11 15:31:14.512000,745.5705230449781,845.0,85.39174239510356
2024-10-11 15:31:15.844000,778.4190091269228,845.0,82.1015820993234
2024-10-11 15:31:17.176000,810.7346625731269,845.0,77.94812065421982
2024-10-11 15:31:18.508000,821.3110699482645,845.0,76.52997423481945
